false_positive_cost,false_negative_cost,selected_threshold,expected_cost_per_applicant,recall,specificity,approval_rate,default_rate_within_approved
1.0,2.5,0.6078,0.1878,0.20745341614906831,0.9692224034801522,0.955,0.06680628272251309
1.0,5.0,0.549,0.3323,0.422360248447205,0.8914627514953779,0.8662,0.05368275225121219
1.0,7.5,0.5097999999999999,0.4442,0.55527950310559,0.8089178901576944,0.7796,0.04592098512057465
1.0,10.0,0.4608,0.5161,0.7304347826086957,0.6747145187601957,0.6421,0.03379535897835228
1.0,15.0,0.4314,0.6102,0.8149068322981367,0.5794453507340946,0.5477,0.027204674091656018
