iteration,train_auc,validation_auc
1.0,0.7282699837705212,0.6898165692264564
2.0,0.7643777825179225,0.7082756966890593
3.0,0.7799029040492311,0.7192493219715008
4.0,0.786426064820111,0.721969406813722
5.0,0.788954169597259,0.7273564150108586
6.0,0.7863627525517338,0.72385397140628
7.0,0.784965546341844,0.7241237642656183
8.0,0.7887320084143307,0.7260648002729001
9.0,0.7875341619229911,0.7248658635026463
10.0,0.7896223247752977,0.7277517824634642
11.0,0.7885126387970872,0.7258769450045427
12.0,0.7872407220273202,0.7243108089395061
13.0,0.7870956709502746,0.7240333154327054
14.0,0.786253064984648,0.7225150719909214
15.0,0.7863376063928575,0.7217655423045877
16.0,0.7859339437880624,0.7215333069890131
17.0,0.7865115882415458,0.7217728376548151
18.0,0.7870665581200004,0.7226283525680646
19.0,0.7874581055504005,0.722322082957589
20.0,0.7876776517093473,0.7215487082839377
21.0,0.7897734058548996,0.722621935361846
22.0,0.7902597285953777,0.7235803957727498
23.0,0.7911524006846994,0.7242569719568088
24.0,0.7913878962831616,0.7242151587920791
25.0,0.7915657344646831,0.7245345330131485
26.0,0.79228890445104,0.724994477825175
27.0,0.7935403037647165,0.7263965360596327
28.0,0.7941378974306826,0.7269397694534229
29.0,0.7946448645166005,0.7272440125777242
30.0,0.7947179362310183,0.7274698982366192
31.0,0.7959210679396029,0.7283660104228938
32.0,0.7966356425517761,0.7289389656139071
33.0,0.7971815591510039,0.7291391824479277
34.0,0.7976482085254107,0.7295330638106722
35.0,0.7981002049384364,0.72951509563326
36.0,0.7983841943360478,0.7299187716791802
37.0,0.7990948684799618,0.7306530351696675
38.0,0.799578493442535,0.7304106674232215
39.0,0.8000468144461957,0.7306445914772747
40.0,0.8009285961191897,0.7313421755680072
41.0,0.801698257259748,0.7315904876738979
42.0,0.8020268620559623,0.7314259369965448
43.0,0.8024408689011903,0.7316599961496763
44.0,0.8028717961653024,0.7316271670736526
45.0,0.8034759273912221,0.7321570256586925
46.0,0.8041387918350874,0.7324365456516673
47.0,0.8045437950534428,0.7321861395100632
48.0,0.8056977874822752,0.7328155661158001
49.0,0.8065393286807533,0.7333997345303112
50.0,0.8069917223126116,0.733942832825023
51.0,0.8077943967517033,0.7343588704366064
52.0,0.8082414996493882,0.7346691930194307
53.0,0.8087246942915594,0.734893322390308
54.0,0.8094749854970991,0.7352948368509756
55.0,0.8100943875803618,0.735494918585918
56.0,0.8104658092565759,0.7353899466020893
57.0,0.8111959305725036,0.7357433657908868
58.0,0.8117890941451004,0.7362234403655781
59.0,0.8123535255554708,0.7362903819588691
60.0,0.8128963802595305,0.7366562302628691
61.0,0.813469274637807,0.7371995312061983
62.0,0.8141998538587779,0.7374966816288896
63.0,0.8148919525053386,0.7377703923614981
64.0,0.8155722007900594,0.7384272440801273
65.0,0.8163626276484787,0.7388961729808599
66.0,0.8168708581109614,0.7389344060200149
67.0,0.8175320123070752,0.7391135473978229
68.0,0.8182482144130765,0.7394454858331729
69.0,0.8188625574731515,0.7399036068076426
70.0,0.8195100131364681,0.7402138618409276
71.0,0.820047637792565,0.7404296150689512
72.0,0.8206280296763072,0.7406780622739202
73.0,0.8212524907827576,0.7409847371816306
74.0,0.8216861158247746,0.740989195451214
75.0,0.8222459737016417,0.7411715792069009
76.0,0.8228197673392199,0.7416215942366733
77.0,0.8236147346295731,0.7422672327318047
78.0,0.8240086212375433,0.7424471847040823
79.0,0.8246750054816199,0.742524326277784
80.0,0.8253222846032331,0.742923679153199
81.0,0.8259743634524072,0.7432099541000882
82.0,0.8265255597519519,0.7436806392888384
83.0,0.8270490390040647,0.7438457303625046
84.0,0.8276583395917367,0.7440408134315504
85.0,0.8282775596163678,0.7441629429983214
86.0,0.828897116173621,0.7443892339544513
87.0,0.8295257149762445,0.7445131198092401
88.0,0.8301004906270479,0.744876131032596
89.0,0.8306036786171277,0.7452480587951189
90.0,0.8310306116252005,0.7453861300531277
91.0,0.8316292314398176,0.7457457637995265
92.0,0.8321179650779326,0.7458104762580258
93.0,0.8325714014092265,0.7460621658408736
94.0,0.833110835617783,0.7463208805757923
