component,explained_variance_ratio,cumulative_explained_variance,information_lost,distance_to_90pct
412,4.1062825e-07,0.9999985,1.4901161e-06,0.099998534
413,3.7279509e-07,0.99999887,1.1324883e-06,0.09999889
414,3.049711e-07,0.99999917,8.34465e-07,0.09999919
415,1.7446503e-07,0.99999934,6.556511e-07,0.09999937
416,1.6076947e-07,0.9999995,4.7683716e-07,0.09999955
417,1.329394e-07,0.99999964,3.5762787e-07,0.099999666
418,1.0680267e-07,0.99999976,2.3841858e-07,0.099999785
419,1.01070015e-07,0.9999999,1.1920929e-07,0.099999905
420,7.921617e-08,0.99999994,5.9604645e-08,0.099999964
421,5.7548153e-08,1.0,0.0,0.100000024
422,4.054109e-08,1.0,0.0,0.100000024
423,3.295565e-08,1.0,0.0,0.100000024
424,1.820877e-08,1.0,0.0,0.100000024
425,1.3417513e-08,1.0,0.0,0.100000024
426,1.15853345e-08,1.0,0.0,0.100000024
427,6.993702e-09,1.0,0.0,0.100000024
428,3.6644525e-09,1.0,0.0,0.100000024
429,2.1383675e-09,1.0,0.0,0.100000024
430,1.3432075e-09,1.0,0.0,0.100000024
431,8.1315493e-10,1.0,0.0,0.100000024
432,8.6635915e-12,1.0,0.0,0.100000024
433,2.0065253e-18,1.0,0.0,0.100000024
434,7.8370814e-19,1.0,0.0,0.100000024
435,3.8738437e-19,1.0,0.0,0.100000024
436,1.2730664e-19,1.0,0.0,0.100000024
437,4.4424942e-21,1.0,0.0,0.100000024
438,2.2872228e-22,1.0,0.0,0.100000024
439,0.0,1.0,0.0,0.100000024
440,0.0,1.0,0.0,0.100000024
441,0.0,1.0,0.0,0.100000024
442,0.0,1.0,0.0,0.100000024
443,0.0,1.0,0.0,0.100000024
444,0.0,1.0,0.0,0.100000024
445,0.0,1.0,0.0,0.100000024
446,0.0,1.0,0.0,0.100000024
447,0.0,1.0,0.0,0.100000024
448,0.0,1.0,0.0,0.100000024
449,0.0,1.0,0.0,0.100000024
450,0.0,1.0,0.0,0.100000024
